Email,First Name,Last Name,Zip Code,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Credit Card No,Birth Date,Product,
jstark@anderson.com,Sidney,Bodiford,497921,"49558 Ramirez Road Suite 399
Phillipstad, OH 35641/3238",Peru,30.73772037,12.63660605,36.21376309,3.357846842,461.7807422,497921,45,grill,
wjennings@gmail.com,Barbie,Cun,487003,"6362 Wilson Mountain
Johnsonfurt, GA 15169",PowderBlue,32.1253869,11.73386169,34.89409275,3.136132716,457.8476959,487003,75,foam-pillow,
rebecca45@hale/bauer.biz,Elden,Hanshaw,512612,"8982 Burton Row
Wilsonton, PW 88606",OliveDrab,32.33889932,12.01319469,38.38513659,2.420806161,407.7045475,512612,56,bike,
alejandro75@hotmail.com,Blossom,Loggins,490589,"64475 Andre Club Apt. 795
Port Dannytown, PW 63227",Cyan,32.18781205,14.71538754,38.24411459,1.516575581,452.3156755,490589,77,Pot, 
samuel46@love/west.net,Joseph,Dennie,497155,"544 Alexander Heights Suite 768
North Johnview, MT 57912",LightSeaGreen,32.61785606,13.98959256,37.1905038,4.06454855,605.0610388,497155,66,speaker,
megan33@gmail.com,Pattie,Markley,502674,"84426 Julia Vista
North Teresa, KY 50756",PeachPuff,32.91278511,11.36549203,37.60779252,4.599937358,534.7057438,502674,55,scale,
agolden@yahoo.com,Genevieve,Spahn,525448,"PSC 2490, Box 2120
APO AE 15445/2876",Black,33.50308726,12.8779837,37.44102134,1.55915194,419.9387748,525448,33,scale,
vstafford@hotmail.com,Luciano,Jaworski,499854,"PSC 5723, Box 8159
APO AA 74738",Olive,31.53160448,13.37856278,38.73400629,2.245147787,436.5156057,499854,55,blanket,
denise22@hernandez/townsend.com,Noe,Mahler,513659,"USNS Cardenas
FPO AA 85439/9449",Silver,32.90325097,11.65757592,36.77260376,3.919302309,519.3409891,513659,44,Electric kettle,
youngbarbara@yahoo.com,Karri,Bransford,513657,"019 Elliott Tunnel Suite 190
Nicholsbury, WV 60804/4440",Wheat,34.507551,12.8936695,37.63575588,5.705153971,700.9170916,513657,44,Humidifier,
william25@mcconnell.com,Larae,Bonney,503269,"9495 Mary Fall Apt. 777
Glassport, ND 17957/5596",Teal,33.02933195,11.76581265,37.73852495,2.721735992,423.1799917,503269,55,Electric-kettle,
ijones@schaefer/carr.net,Sharita,Fierros,511086,"657 Judith Crossroad
Hancockchester, VI 75658/5788",Linen,33.54123131,12.78389178,36.43064962,4.648199316,619.8956399,511086,33,desk,
heatherhall@yahoo.com,Frederica,Perla,503229,"8522 Regina Port Suite 782
Port Kaitlin, TX 50501/7264",MediumSlateBlue,32.33598964,13.00781942,37.85177917,2.996364526,486.8389348,503229,44,speaker,
tinasmith@martinez.info,Mara,Elder,499917,"40000 Ann Port Suite 474
Youngberg, MS 03651",LemonChiffon,33.11020506,11.98204499,35.29308775,3.923488746,529.5376653,499917,55,straightener,
chasejennifer@hotmail.com,Enola,Volz,527545,"9507 Robert Prairie Apt. 601
East Crystalview, SC 56814",DarkOrchid,33.10543794,11.96502,37.27781174,4.74257752,554.7220838,527545,65,Humidifier,
jenniferbarnett@gmail.com,Leslie,Mccardell,487368,"0772 Michael Isle Suite 617
Meyerstown, WA 45449/6768",SeaGreen,33.24190043,12.30541781,36.16364817,3.062368145,497.5866713,487368,99,bike,
jared39@hotmail.com,Gina,Coria,496495,"739 David Isle Suite 818
Chandlertown, DC 34587",SteelBlue,33.4610563,10.86916381,35.62244242,3.471413452,447.6879065,496495,88,Humidifier,
briancarlson@page/fleming.com,Marietta,Taing,498968,"USCGC Gill
FPO AA 26496",DarkMagenta,32.17550124,13.38749211,35.69417499,4.343062915,588.7126055,498968,77,charger,
joshuaodom@gmail.com,Karlyn,Buchholtz,488790,"5277 Patel Brook
East Audrey, NJ 19075",DarkGoldenRod,32.72836,13.10450724,38.87804051,2.820097234,491.0732237,488790,66,Humidifier,
vickie90@lee/wilson.com,Herma,Renken,515677,"9135 Rodriguez Dam
Ramirezberg, MS 77223",DarkSeaGreen,32.82030995,11.63489325,35.36862633,4.124585297,507.4418323,515677,55,Smart scale,
duane56@hotmail.com,Gertrud,Gillispie,492570,"24373 Mcgee Drive Apt. 990
New Mariahaven, NH 14470",Gainsboro,33.61603789,11.9363865,38.768641,3.649286158,521.8835732,492570,43,razor,
enash@gmail.com,Kelsie,Lavoie,514406,"997 Campbell Flat Suite 970
East Amanda, PW 22048",HotPink,31.72165236,11.7550237,36.76572236,1.847370423,347.7769266,514406,43,toaster-oven,
sandraharrison@bailey/gordon.net,Selena,Jenney,508986,"7835 Rogers Roads
East Amberhaven, MI 70835/2286",LightSeaGreen,32.86532717,11.98441752,37.0443614,3.452388583,490.7386321,508986,45,tracker,
cunninghamwilliam@hotmail.com,Teri,Schooley,488051,"4589 Dan Fords
Beasleyburgh, ME 96590/8272",HoneyDew,32.74936818,9.954975969,37.38831487,4.650491269,478.1703341,488051,43,Electric-kettle,
teresaallen@hill/leach.info,Lizette,Campana,488434,"1958 Robert Bridge Apt. 250
Malloryland, ID 03393/5336",WhiteSmoke,32.56723048,12.48901322,36.37147981,4.222436225,537.8461953,488434,54,bike,
rhonda96@little.org,Mayra,Luby,505677,"2977 Perez Row
Lake Jack, TN 45336/9436",GhostWhite,32.07054622,11.73310622,37.53429101,4.671275461,532.7517876,505677,44,bike-trainer,
lisacabrera@yahoo.com,Luisa,Finneran,524292,"9801 Thomas Pike Suite 058
Brandishire, AK 88122/1314",DarkSlateBlue,33.01954799,10.63456132,37.49669015,4.646119977,501.8744303,524292,33,bike-trainer,
jasonrichardson@elliott.com,Genoveva,Herrod,525819,"18372 Matthew Fork Suite 705
North Matthewmouth, KY 99737",Chocolate,33.79203908,12.50752537,37.14286198,4.214495086,591.1971782,525819,44,blanket,
hoovernicole@dorsey.net,Tandra,Toon,496844,"69403 Hernandez Knolls
Marciashire, DE 36417/5667",HoneyDew,32.89398062,11.52987821,36.88808605,4.64325855,547.2443434,496844,55,scooter,
christopher20@gmail.com,Zoe,Mangrum,527682,"USNV Fuller
FPO AE 32122/5711",Snow,32.04448613,13.41493474,36.11243501,2.258686387,448.2298292,527682,88,straightener,
brianwilson@yahoo.com,Marquerite,Salaam,496000,"448 Stewart Divide
New Ashleyfort, FM 84050",BurlyWood,34.55576799,12.17052542,39.13109673,3.663105491,549.8605905,496000,77,mat,
gonzaleskatie@gmail.com,Alva,Fonte,508380,"70129 Darrell Spring
Thomasmouth, HI 39319/2739",Moccasin,34.56455771,13.14655143,37.33544589,3.876875177,593.915003,508380,67,toothbrush,
lsmith@chung.com,Maudie,Cage,509140,"412 Jackson River
Kleinburgh, KS 52039/7404",BlueViolet,32.7267846,12.98851015,36.46200326,4.113226123,563.6728734,509140,66,vacuum-cleaner,
dongarcia@hotmail.com,Hilde,Greaves,498410,"546 Benjamin Lights Suite 421
Romerofurt, NC 43746/4501",MediumBlue,33.11721873,11.86412636,36.58272777,3.202531199,479.7319491,498410,55,mat,
kimberly46@garcia/nelson.biz,Christiana,Rippe,516906,"4066 Gonzalez Dam Apt. 277
West Jessica, TN 36880",GreenYellow,31.66104982,11.39806419,36.5944567,3.198399272,416.3583536,516906,44,toothbrush,
william82@gmail.com,Bulah,Warr,525885,"11143 Park Squares
Samanthatown, UT 97073",SandyBrown,33.25633547,13.85806246,37.78026469,5.976768126,725.5848141,516906,33,air-fryer,
brenda82@maldonado/gonzalez.net,Azzie,Stolte,502533,"645 Elizabeth Pass
Williamview, MS 51544",MediumVioletRed,33.90022441,10.95679097,37.26687826,2.952668958,442.6672517,516906,24,air-fryer,
josephgould@west.info,Sharri,Whistler,509188,"861 Annette Stream Suite 771
North Miguel, CA 33824/1610",DarkBlue,34.18777483,10.32011626,37.4534051,2.094891706,384.6265716,516906,33,blanket,
wbrady@yahoo.com,Rebecka,Holliman,517765,"044 Riggs Expressway
Lake Stevenchester, AL 22283",SandyBrown,33.76206924,9.984514397,35.9334493,3.855471685,451.4574469,516906,32,scooter,
